r  g1  g2  g3
3.33,2.00619,1.9677,1.90709,2.0103
3.35,2.00583,1.95714,1.90699,2.02399
3.38,2.00989,1.95657,1.9126,2.06134
3.4,2.00776,1.94669,1.91974,2.08649
3.42,1.99518,1.93774,1.93172,2.08886
3.45,1.993,1.94021,1.95334,2.10236
3.48,1.9867,1.94227,1.96693,2.11605
3.5,1.99228,1.94312,1.99109,2.09942
3.53,1.98497,1.95139,2.0119,2.11738
3.55,1.98943,1.94362,2.01617,2.09474
3.58,1.98366,1.95019,2.0365,2.08816
3.6,1.9966,1.9652,2.05836,2.07891
3.63,1.97432,1.98111,2.05534,2.0608
3.65,1.96617,1.98956,2.06877,2.06094
3.67,1.99555,1.98567,2.07215,2.04374
3.7,1.99551,1.98425,2.08488,2.02812
3.73,1.98592,2.00145,2.0795,2.00283
3.75,1.96641,2.00951,2.07714,1.99414
3.78,1.98918,2.01145,2.07398,1.97675
3.8,2.00293,2.02323,2.06651,1.95821
3.83,2.00887,2.01351,2.05021,1.95382
3.85,1.9785,2.02926,2.04955,1.95053
3.88,2.00401,2.01261,2.02679,1.92735
3.9,2.02126,2.01311,2.00816,1.94226
3.92,2.01235,2.02246,1.99874,1.93766
3.95,2.00221,2.02662,2.00419,1.93842
3.98,2.00048,2.02684,1.99698,1.9333
4,2.01934,2.01775,1.98207,1.92909
4.03,2.00666,2.02484,1.97345,1.93834
4.05,2.00523,2.02599,1.96806,1.94267
4.08,2.01592,2.02092,1.96878,1.97283
4.1,2.00305,2.01869,1.95571,1.9734
4.13,2.00839,2.0178,1.95199,1.97235
4.15,2.01684,2.01557,1.96956,1.988
4.18,2.00825,2.01947,1.94727,2.0084
4.2,2.01793,2.01374,1.95024,2.01726
4.22,1.99824,2.00351,1.97447,0.776059
4.25,1.99379,1.99982,1.96979,0
4.28,1.99957,2.00296,1.9785,0
4.3,2.01475,1.99529,1.97134,0
4.33,1.99655,1.98805,1.9816,0
4.35,1.98995,1.99671,1.98696,0
4.38,2.00492,1.99274,2.0006,0
4.4,1.99983,1.97786,2.00369,0
4.43,1.99981,1.97542,2.00092,0
4.45,1.99437,1.98097,2.00092,0
4.47,2.00169,1.98063,2.02181,0
4.5,1.99113,1.97306,0,0
4.53,1.99383,1.98568,0,0
4.55,1.99431,1.98169,0,0
4.58,1.98185,1.9843,0,0
4.6,1.99646,1.99073,0,0
4.63,2.00032,1.99778,0,0
4.65,1.98873,1.99378,0,0
4.68,1.99838,2.00442,0,0
4.7,1.9937,1.99924,0,0
4.72,1.99036,2.00833,0,0
4.75,1.99235,2.01199,0,0
4.78,2.00979,2.00954,0,0
4.8,1.98675,2.01305,0,0
4.83,1.98678,1.81347,0,0
4.85,1.99984,0,0,0
4.88,2.01615,0,0,0
4.9,1.996,0,0,0
4.93,2.00229,0,0,0
4.95,2.00437,0,0,0
4.97,2.00086,0,0,0
5,2.01285,0,0,0
5.03,2.01943,0,0,0
5.05,2.01642,0,0,0
5.08,2.00597,0,0,0
5.1,2.01239,0,0,0
5.13,2.01024,0,0,0
5.15,2.02148,0,0,0
5.18,2.01347,0,0,0
5.2,2.01251,0,0,0
5.22,1.99322,0,0,0
5.25,2.00535,0,0,0
5.28,2.01091,0,0,0
5.3,2.00291,0,0,0
