r  g1  g2  g3
0,74932,0,0,0,0,0
0.025,75614,0,0,0,0,0
0.05,76532,0,0,0,0,0
0.075,77796,0,0,0,0,0
0.1,77750,0,0,0,0,0
0.125,78730,0,0,0,0,0
0.15,79742,0,0,0,0,0
0.175,80112,0,0,0,0,0
0.2,79900,0,0,0,0,0
0.225,81234,0,0,0,0,0
0.25,82078,0,0,0,0,0
0.275,83526,0,0,0,0,0
0.3,84380,0,0,0,0,0
0.325,83670,0,0,0,0,0
0.35,85632,0,0,0,0,0
0.375,86652,0,0,0,0,0
0.4,87598,0,0,0,0,0
0.425,88154,0,0,0,0,0
0.45,89658,0,0,0,0,0
0.475,89178,0,0,0,0,0
0.5,91420,0,0,0,0,0
0.525,92278,0,0,0,0,0
0.55,92858,0,0,0,0,0
0.575,93254,0,0,0,0,0
0.6,94196,0,0,0,0,0
0.625,14556,0,0,0,0,0
0.65,0,0,0,0,0,0
0.675,0,0,0,0,0,0
0.7,0,0,0,0,0,0
0.725,0,0,0,0,0,0
0.75,0,0,0,0,0,0.00122257
0.775,0,0,0,0,0,0.0234968
0.8,0,0,0,0,0.00628099,0.256803
0.825,0,0,0,0.00141879,0.0809893,1.23638
0.85,0.00334435,0,0,0.0240793,0.588606,2.9244
0.875,0.0142137,0.00737007,0.015793,0.192675,1.86463,4.67067
0.9,0.132962,0.0577663,0.109806,0.882031,3.50133,5.85459
0.925,0.399127,0.310432,0.528631,2.20511,4.96503,6.04554
0.95,1.13868,0.901452,1.45087,3.75011,5.81513,5.5967
0.975,1.79357,1.90073,2.76689,4.94392,5.95348,5.04503
1,2.48512,2.92843,3.9,5.42408,5.52722,4.24427
1.02,3.15497,3.54174,4.69721,5.54397,4.81105,3.58686
1.05,3.42699,4.08594,4.99338,5.26544,4.1752,2.97111
1.08,3.52053,4.3273,4.94579,4.68451,3.45847,2.42766
1.1,3.59125,4.2851,4.6853,4.29301,3.08367,2.07741
1.13,3.54088,4.04691,4.23166,3.60991,2.50224,1.79455
1.15,3.36814,3.87902,3.79848,3.14519,2.16289,1.56934
1.18,3.2587,3.43219,3.41352,2.69906,1.88135,1.40994
1.2,3.05378,3.23684,3.04025,2.3513,1.63111,1.28761
1.23,3.02913,2.94925,2.72898,2.0883,1.52905,1.15395
1.25,2.7566,2.72538,2.47524,1.84377,1.35046,1.12811
1.27,2.60932,2.57205,2.284,1.64589,1.22849,1.0918
1.3,2.49714,2.32094,2.0913,1.54566,1.16914,1.05989
1.33,2.40675,2.22618,1.92624,1.4403,1.11634,1.08342
1.35,2.34069,2.10816,1.84146,1.34933,1.12958,1.09438
1.38,2.26421,1.96524,1.69493,1.27013,1.08278,1.1406
1.4,2.16357,1.92331,1.58527,1.21809,1.114,1.18235
1.43,2.11005,1.88188,1.53904,1.22834,1.15365,1.29295
1.45,2.09552,1.73357,1.45925,1.21881,1.20547,1.36262
1.48,1.89749,1.69078,1.44772,1.18538,1.25413,1.51173
1.5,1.87933,1.70749,1.40243,1.1909,1.31452,1.62515
1.52,1.88765,1.66119,1.40324,1.23563,1.42982,1.78804
1.55,1.87359,1.64854,1.40608,1.26937,1.48294,1.93481
1.58,1.83578,1.59308,1.40608,1.33278,1.65791,2.11072
1.6,1.85058,1.61264,1.40779,1.4177,1.78424,2.2064
1.63,1.79776,1.59316,1.43542,1.51875,1.90972,2.31876
1.65,1.80486,1.64253,1.44434,1.58053,2.0182,2.43524
1.68,1.80027,1.61752,1.5019,1.72347,2.18645,2.50242
1.7,1.74046,1.66594,1.5273,1.81028,2.2977,2.5649
1.73,1.83001,1.6851,1.63572,1.92256,2.37807,2.61772
1.75,1.83533,1.6654,1.7214,2.03388,2.44951,2.65497
1.77,1.84003,1.7266,1.79292,2.11444,2.51541,2.65131
1.8,1.78886,1.80805,1.81234,2.21328,2.5755,2.58473
1.83,1.88384,1.86088,1.90134,2.34919,2.61066,2.54499
1.85,1.84831,1.8629,2.02386,2.41708,2.605,2.47559
1.88,1.9177,1.90816,2.09753,2.46689,2.60233,2.37373
1.9,1.92129,1.94136,2.1478,2.50798,2.55877,2.239
1.93,1.90384,1.99475,2.17244,2.53435,2.47903,2.16465
1.95,1.91572,2.03362,2.2573,2.58027,2.42585,2.02301
1.98,1.98877,2.09511,2.30464,2.56905,2.31839,1.95471
2,1.99495,2.1386,2.34541,2.51828,2.24477,1.84142
2.03,1.9451,2.14597,2.40538,2.46405,2.11031,1.74976
2.05,2.05586,2.20169,2.37959,2.41836,2.0386,1.66607
2.08,2.01804,2.19875,2.37189,2.32676,1.94962,1.62747
2.1,2.03579,2.22247,2.36487,2.22975,1.85469,1.60415
2.13,2.0911,2.21054,2.33179,2.16548,1.77553,1.58272
2.15,2.09118,2.23722,2.30759,2.09485,1.71325,1.58692
2.17,2.09097,2.1609,2.26346,1.98599,1.66245,1.59594
2.2,2.11158,2.17198,2.18655,1.92815,1.65169,1.62855
2.23,2.05894,2.15221,2.15312,1.85976,1.61076,1.65434
2.25,2.09657,2.12808,2.11042,1.82054,1.61036,1.72165
2.28,2.10115,2.11669,2.05729,1.74578,1.61077,1.78292
2.3,2.09877,2.06171,2.05678,1.73187,1.64135,1.84527
2.33,2.06163,2.09495,1.95155,1.7004,1.66213,1.90723
2.35,2.03071,2.04505,1.93209,1.67254,1.69118,1.96917
2.38,2.0421,2.0154,1.89467,1.68658,1.75489,2.05803
2.4,2.025,2.03284,1.8508,1.67079,1.80869,2.13279
2.42,2.0065,1.99066,1.84329,1.69356,1.88094,2.18552
2.45,2.00658,1.95304,1.81713,1.72549,1.93499,2.20977
2.48,1.98435,1.95633,1.82582,1.74148,2.00398,2.25852
2.5,1.97619,1.92811,1.80809,1.77234,2.0767,2.25862
2.53,1.98652,1.91632,1.82336,1.83049,2.10843,2.28278
2.55,1.97125,1.91195,1.8213,1.86875,2.15438,2.26211
2.58,1.90658,1.90058,1.82418,1.90335,2.20264,2.25402
2.6,1.93534,1.89317,1.84903,1.936,2.22758,2.23207
2.63,1.95695,1.92684,1.82801,1.97737,2.23515,2.20033
2.65,1.93072,1.91949,1.88334,2.03222,2.26567,2.18227
2.67,1.97437,1.89244,1.90444,2.07816,2.2515,2.11652
2.7,1.97568,1.90562,1.92217,2.1287,2.2209,2.09116
2.73,1.95802,1.91038,1.9347,2.17339,2.23514,2.05257
2.75,1.97572,1.93768,1.96985,2.18314,2.20437,1.99673
2.78,1.95869,1.9667,1.99455,2.19853,2.16592,1.96006
2.8,1.95548,1.97058,2.01092,2.20069,2.13618,1.94276
2.83,1.93338,1.97978,2.03906,2.21375,2.09088,1.9093
2.85,1.97415,1.99201,2.06289,2.21442,2.07744,1.88954
