r	f(r)
0.51,5.91e+005
0.512,5.59e+005
0.514,5.29e+005
0.516,5.01e+005
0.518,4.75e+005
0.52,4.5e+005
0.522,4.26e+005
0.524,4.04e+005
0.526,3.83e+005
0.528,3.63e+005
0.53,3.44e+005
0.532,3.26e+005
0.534,3.09e+005
0.536,2.94e+005
0.538,2.79e+005
0.54,2.64e+005
0.542,2.51e+005
0.544,2.38e+005
0.546,2.26e+005
0.548,2.15e+005
0.55,2.04e+005
0.552,1.94e+005
0.554,1.84e+005
0.556,1.75e+005
0.558,1.67e+005
0.56,1.58e+005
0.562,1.51e+005
0.564,1.43e+005
0.566,1.36e+005
0.568,1.3e+005
0.57,1.23e+005
0.572,1.17e+005
0.574,1.12e+005
0.576,1.06e+005
0.578,1.01e+005
0.58,9.66e+004
0.582,9.2e+004
0.584,8.77e+004
0.586,8.35e+004
0.588,7.96e+004
0.59,7.59e+004
0.592,7.23e+004
0.594,6.9e+004
0.596,6.58e+004
0.598,6.27e+004
0.6,5.98e+004
0.602,5.71e+004
0.604,5.45e+004
0.606,5.2e+004
0.608,4.96e+004
0.61,4.73e+004
0.612,4.52e+004
0.614,4.32e+004
0.616,4.12e+004
0.618,3.94e+004
0.62,3.76e+004
0.622,3.59e+004
0.624,3.43e+004
0.626,3.28e+004
0.628,3.14e+004
0.63,3e+004
0.632,2.87e+004
0.634,2.74e+004
0.636,2.62e+004
0.638,2.51e+004
0.64,2.4e+004
0.642,2.29e+004
0.644,2.19e+004
0.646,2.1e+004
0.648,2.01e+004
0.65,1.92e+004
0.652,1.84e+004
0.654,1.76e+004
0.656,1.69e+004
0.658,1.61e+004
0.66,1.55e+004
0.662,1.48e+004
0.664,1.42e+004
0.666,1.36e+004
0.668,1.3e+004
0.67,1.25e+004
0.672,1.2e+004
0.674,1.15e+004
0.676,1.1e+004
0.678,1.05e+004
0.68,1.01e+004
0.682,9.68e+003
0.684,9.28e+003
0.686,8.9e+003
0.688,8.54e+003
0.69,8.19e+003
0.692,7.86e+003
0.694,7.54e+003
0.696,7.23e+003
0.698,6.94e+003
0.7,6.66e+003
0.702,6.39e+003
0.704,6.14e+003
0.706,5.89e+003
0.708,5.66e+003
0.71,5.43e+003
0.712,5.22e+003
0.714,5.01e+003
0.716,4.81e+003
0.718,4.62e+003
0.72,4.44e+003
0.722,4.26e+003
0.724,4.1e+003
0.726,3.94e+003
0.728,3.78e+003
0.73,3.64e+003
0.732,3.49e+003
0.734,3.36e+003
0.736,3.23e+003
0.738,3.1e+003
