i  K  U  E
559.1,-2439,-1880
541.5,-2421,-1879
490.5,-2370,-1879
414.4,-2292,-1878
332.6,-2209,-1876
272.6,-2147,-1875
253.5,-2129,-1875
272.5,-2149,-1876
312.2,-2190,-1877
353.9,-2232,-1878
386.1,-2264,-1878
406,-2284,-1878
416.7,-2294,-1878
424.1,-2301,-1877
433,-2310,-1877
446.2,-2323,-1877
464.1,-2341,-1877
485.8,-2363,-1877
510.4,-2388,-1877
537.6,-2415,-1877
567.4,-2445,-1877
598.4,-2476,-1877
628.1,-2506,-1878
654.4,-2532,-1878
676.5,-2554,-1878
693.7,-2572,-1878
705,-2583,-1878
711.8,-2590,-1878
716.1,-2594,-1878
718.6,-2596,-1878
719.1,-2597,-1878
717.6,-2596,-1878
714.1,-2592,-1878
710.5,-2588,-1878
708.5,-2586,-1878
707.8,-2586,-1878
706.7,-2585,-1878
703.6,-2582,-1878
698.4,-2576,-1878
692.8,-2571,-1878
689.5,-2567,-1878
689.6,-2568,-1878
690.2,-2569,-1878
688,-2566,-1878
681.7,-2560,-1878
672.3,-2551,-1878
662,-2540,-1878
652.5,-2531,-1878
646.1,-2524,-1878
644.5,-2523,-1878
647.4,-2526,-1878
651.9,-2530,-1878
656.3,-2535,-1878
660.2,-2539,-1878
662.7,-2541,-1878
662.2,-2541,-1878
659.3,-2537,-1878
658.8,-2536,-1878
664.4,-2542,-1878
673.3,-2551,-1878
681.2,-2559,-1878
685.2,-2563,-1878
684.3,-2563,-1878
679.9,-2558,-1878
675,-2553,-1878
672.4,-2550,-1878
671.6,-2550,-1878
669.8,-2548,-1878
665.5,-2544,-1878
659.2,-2537,-1878
653.1,-2531,-1878
650.4,-2528,-1878
652.6,-2531,-1878
658,-2536,-1878
663.7,-2542,-1878
668.1,-2546,-1878
670.5,-2549,-1878
669.8,-2548,-1878
666.5,-2545,-1878
662.6,-2541,-1878
659.6,-2538,-1878
656.6,-2535,-1878
650.3,-2529,-1878
640.9,-2519,-1878
633.7,-2512,-1878
632.3,-2510,-1878
636,-2514,-1878
641.3,-2520,-1878
644.9,-2523,-1878
646.8,-2525,-1878
648.7,-2527,-1878
651.7,-2530,-1878
656.6,-2535,-1878
663.2,-2541,-1878
671.7,-2550,-1878
682,-2560,-1878
689.9,-2569,-1879
691.4,-2570,-1879
686.8,-2565,-1878
681,-2559,-1878
678.2,-2556,-1878
678.8,-2557,-1878
681.1,-2559,-1878
682.3,-2561,-1879
679.1,-2558,-1878
673.4,-2551,-1878
670.4,-2548,-1878
671.3,-2550,-1878
671.8,-2550,-1878
669,-2547,-1878
665,-2543,-1878
665.2,-2543,-1878
673.7,-2551,-1878
689.1,-2567,-1878
705.5,-2584,-1878
716.4,-2595,-1879
717.1,-2596,-1879
704.9,-2584,-1879
683,-2561,-1878
661.4,-2539,-1878
647.9,-2525,-1878
645.7,-2523,-1878
652.6,-2531,-1878
662,-2540,-1878
669.6,-2548,-1878
675,-2553,-1878
680.4,-2558,-1878
686,-2564,-1878
689.3,-2568,-1878
687.5,-2566,-1878
680.5,-2559,-1878
670.3,-2549,-1878
660.5,-2539,-1878
654.5,-2533,-1878
653.1,-2531,-1878
653.2,-2532,-1879
651.6,-2530,-1878
650,-2528,-1878
652.9,-2531,-1878
662.1,-2540,-1878
675.9,-2554,-1878
690.3,-2569,-1878
701.3,-2580,-1878
707.1,-2586,-1878
707.9,-2586,-1878
704.8,-2583,-1878
701.1,-2579,-1878
697.8,-2576,-1878
693.6,-2572,-1878
689.1,-2567,-1878
686.3,-2564,-1878
686.7,-2565,-1878
689.1,-2567,-1878
689.9,-2568,-1878
686.7,-2565,-1878
681.2,-2559,-1878
676.8,-2555,-1878
675.2,-2553,-1878
675.7,-2554,-1878
676,-2554,-1878
676,-2554,-1878
678.2,-2556,-1878
682.8,-2561,-1878
687.7,-2566,-1878
690.1,-2569,-1879
688.1,-2566,-1878
684,-2562,-1878
681.7,-2560,-1878
683.3,-2561,-1878
687.1,-2565,-1878
692.1,-2570,-1878
699.1,-2577,-1878
705.7,-2584,-1878
708.3,-2587,-1878
706.8,-2585,-1878
702.7,-2581,-1878
697,-2575,-1878
690.5,-2569,-1878
686.1,-2564,-1878
686.7,-2565,-1878
691.3,-2570,-1878
695.9,-2574,-1878
697.5,-2576,-1878
697.5,-2576,-1878
698.7,-2577,-1878
701.5,-2580,-1878
704.6,-2583,-1878
706.9,-2585,-1878
708,-2586,-1878
707.9,-2586,-1878
707.9,-2586,-1878
707.9,-2586,-1878
707.7,-2586,-1878
707.3,-2586,-1878
704.9,-2583,-1878
699,-2577,-1878
692.2,-2570,-1878
688.4,-2566,-1878
688.5,-2567,-1878
690.2,-2569,-1878
691.6,-2570,-1878
693.9,-2572,-1878
699.2,-2577,-1878
705.2,-2584,-1878
707.5,-2586,-1879
703.2,-2582,-1879
